Model_Filename,Test_Accuracy_Percent,Training_Time_Seconds
simple_mlp_ep01_t1.pth,95.42,37.27
simple_mlp_ep01_t2.pth,95.45,4.21
simple_mlp_ep01_t3.pth,95.37,4.07
simple_mlp_ep02_t1.pth,96.74000000000001,8.33
simple_mlp_ep02_t2.pth,96.71,10.98
simple_mlp_ep02_t3.pth,96.88,10.27
simple_mlp_ep03_t1.pth,97.59,12.75
simple_mlp_ep03_t2.pth,97.53,12.42
simple_mlp_ep03_t3.pth,97.43,12.29
simple_mlp_ep04_t1.pth,97.61999999999999,16.53
simple_mlp_ep04_t2.pth,97.61,16.32
simple_mlp_ep04_t3.pth,97.68,16.69
simple_mlp_ep05_t1.pth,98.08,23.92
simple_mlp_ep05_t2.pth,97.82,35.45
simple_mlp_ep05_t3.pth,98.08,37.18
simple_mlp_ep06_t1.pth,97.83,43.7
simple_mlp_ep06_t2.pth,97.89999999999999,43.38
simple_mlp_ep06_t3.pth,97.92999999999999,43.29
simple_mlp_ep07_t1.pth,98.09,51.1
simple_mlp_ep07_t2.pth,98.18,50.49
simple_mlp_ep07_t3.pth,97.86,51.13
simple_mlp_ep08_t1.pth,98.13,58.87
simple_mlp_ep08_t2.pth,98.11,49.82
simple_mlp_ep08_t3.pth,98.02,54.18
simple_mlp_ep09_t1.pth,97.97,63.22
simple_mlp_ep09_t2.pth,97.88,60.78
simple_mlp_ep09_t3.pth,98.00999999999999,61.58
simple_mlp_ep10_t1.pth,98.0,67.76
simple_mlp_ep10_t2.pth,98.07000000000001,67.19
simple_mlp_ep10_t3.pth,98.03,69.69
simple_cnn_ep01_t1.pth,98.22,7.63
simple_cnn_ep01_t2.pth,98.3,7.57
simple_cnn_ep01_t3.pth,98.3,7.52
simple_cnn_ep02_t1.pth,98.63,15.23
simple_cnn_ep02_t2.pth,98.6,15.4
simple_cnn_ep02_t3.pth,98.67,15.26
simple_cnn_ep03_t1.pth,98.89,22.23
simple_cnn_ep03_t2.pth,98.72,22.48
simple_cnn_ep03_t3.pth,98.96000000000001,22.72
simple_cnn_ep04_t1.pth,98.83999999999999,30.39
simple_cnn_ep04_t2.pth,98.92,29.81
simple_cnn_ep04_t3.pth,98.61999999999999,30.38
simple_cnn_ep05_t1.pth,98.79,38.15
simple_cnn_ep05_t2.pth,98.9,38.32
simple_cnn_ep05_t3.pth,99.15,37.52
simple_cnn_ep06_t1.pth,98.91,44.85
simple_cnn_ep06_t2.pth,98.9,45.34
simple_cnn_ep06_t3.pth,98.69,41.64
simple_cnn_ep07_t1.pth,98.71,53.34
simple_cnn_ep07_t2.pth,98.95,52.98
simple_cnn_ep07_t3.pth,98.68,53.1
simple_cnn_ep08_t1.pth,98.91,58.1
simple_cnn_ep08_t2.pth,98.76,59.79
simple_cnn_ep08_t3.pth,98.85000000000001,57.94
simple_cnn_ep09_t1.pth,98.77,37.94
simple_cnn_ep09_t2.pth,98.98,37.57
simple_cnn_ep09_t3.pth,98.95,37.94
simple_cnn_ep10_t1.pth,98.99,42.07
simple_cnn_ep10_t2.pth,98.98,43.05
simple_cnn_ep10_t3.pth,99.06,42.73
robust_cnn_ep01_t1.pth,98.02,6.39
robust_cnn_ep01_t2.pth,98.22999999999999,6.55
robust_cnn_ep01_t3.pth,98.11999999999999,6.51
robust_cnn_ep02_t1.pth,98.42999999999999,18.76
robust_cnn_ep02_t2.pth,98.59,22.42
robust_cnn_ep02_t3.pth,98.7,22.64
robust_cnn_ep03_t1.pth,98.69,33.43
robust_cnn_ep03_t2.pth,98.69,33.88
robust_cnn_ep03_t3.pth,98.86,33.84
robust_cnn_ep04_t1.pth,98.81,44.86
robust_cnn_ep04_t2.pth,99.09,44.75
robust_cnn_ep04_t3.pth,98.85000000000001,45.43
robust_cnn_ep05_t1.pth,99.1,56.22
robust_cnn_ep05_t2.pth,98.91,54.68
robust_cnn_ep05_t3.pth,98.92999999999999,56.32
robust_cnn_ep06_t1.pth,98.95,60.21
robust_cnn_ep06_t2.pth,98.91,54.56
robust_cnn_ep06_t3.pth,99.03999999999999,52.4
robust_cnn_ep07_t1.pth,99.02,64.34
robust_cnn_ep07_t2.pth,98.92999999999999,62.32
robust_cnn_ep07_t3.pth,98.94,62.76
robust_cnn_ep08_t1.pth,99.13,72.44
robust_cnn_ep08_t2.pth,99.13,74.74
robust_cnn_ep08_t3.pth,99.0,78.81
robust_cnn_ep09_t1.pth,99.21,101.01
robust_cnn_ep09_t2.pth,99.16,98.5
robust_cnn_ep09_t3.pth,99.09,101.89
robust_cnn_ep10_t1.pth,99.18,112.74
robust_cnn_ep10_t2.pth,99.21,111.33
robust_cnn_ep10_t3.pth,99.16,113.21
