Model_Type,Epochs,Trial,Epsilon,Adv_Accuracy
robust_cnn,01,1,0.05,93.05
robust_cnn,01,2,0.05,86.08
robust_cnn,01,3,0.05,94.55
robust_cnn,02,1,0.05,91.13
robust_cnn,02,2,0.05,93.32
robust_cnn,02,3,0.05,94.21
robust_cnn,03,1,0.05,89.07
robust_cnn,03,2,0.05,92.5
robust_cnn,03,3,0.05,91.46
robust_cnn,04,1,0.05,85.87
robust_cnn,04,2,0.05,93.45
robust_cnn,04,3,0.05,91.79
robust_cnn,05,1,0.05,87.23
robust_cnn,05,2,0.05,92.05
robust_cnn,05,3,0.05,79.04
robust_cnn,06,1,0.05,85.54
robust_cnn,06,2,0.05,83.56
robust_cnn,06,3,0.05,84.54
robust_cnn,07,1,0.05,82.23
robust_cnn,07,2,0.05,91.28
robust_cnn,07,3,0.05,77.32
robust_cnn,08,1,0.05,79.23
robust_cnn,08,2,0.05,71.05
robust_cnn,08,3,0.05,72.15
robust_cnn,09,1,0.05,79.87
robust_cnn,09,2,0.05,93.28
robust_cnn,09,3,0.05,73.95
robust_cnn,10,1,0.05,90.25
robust_cnn,10,2,0.05,68.14
robust_cnn,10,3,0.05,91.03
simple_cnn,01,1,0.05,94.71
simple_cnn,01,2,0.05,93.25
simple_cnn,01,3,0.05,94.44
simple_cnn,02,1,0.05,95.62
simple_cnn,02,2,0.05,94.86
simple_cnn,02,3,0.05,94.85
simple_cnn,03,1,0.05,95.54
simple_cnn,03,2,0.05,95.49
simple_cnn,03,3,0.05,95.94
simple_cnn,04,1,0.05,94.78
simple_cnn,04,2,0.05,95.48
simple_cnn,04,3,0.05,95.66
simple_cnn,05,1,0.05,96.05
simple_cnn,05,2,0.05,95.3
simple_cnn,05,3,0.05,95.62
simple_cnn,06,1,0.05,95.39
simple_cnn,06,2,0.05,94.76
simple_cnn,06,3,0.05,95.76
simple_cnn,07,1,0.05,95.39
simple_cnn,07,2,0.05,95.83
simple_cnn,07,3,0.05,95.63
simple_cnn,08,1,0.05,95.55
simple_cnn,08,2,0.05,96.01
simple_cnn,08,3,0.05,95.74
simple_cnn,09,1,0.05,95.6
simple_cnn,09,2,0.05,95.43
simple_cnn,09,3,0.05,95.9
simple_cnn,10,1,0.05,95.74
simple_cnn,10,2,0.05,95.35
simple_cnn,10,3,0.05,96.26
simple_mlp,01,1,0.05,68.28
simple_mlp,01,2,0.05,66.85
simple_mlp,01,3,0.05,65.5
simple_mlp,02,1,0.05,66.57
simple_mlp,02,2,0.05,67.69
simple_mlp,02,3,0.05,64.57
simple_mlp,03,1,0.05,63.27
simple_mlp,03,2,0.05,67.38
simple_mlp,03,3,0.05,66.64
simple_mlp,04,1,0.05,66.86
simple_mlp,04,2,0.05,63.1
simple_mlp,04,3,0.05,62.33
simple_mlp,05,1,0.05,59.54
simple_mlp,05,2,0.05,61.57
simple_mlp,05,3,0.05,64.4
simple_mlp,06,1,0.05,61.67
simple_mlp,06,2,0.05,59.75
simple_mlp,06,3,0.05,58.48
simple_mlp,07,1,0.05,57.91
simple_mlp,07,2,0.05,62.15
simple_mlp,07,3,0.05,59.41
simple_mlp,08,1,0.05,56.51
simple_mlp,08,2,0.05,58.69
simple_mlp,08,3,0.05,59.13
simple_mlp,09,1,0.05,60.84
simple_mlp,09,2,0.05,61.69
simple_mlp,09,3,0.05,58.1
simple_mlp,10,1,0.05,57.66
simple_mlp,10,2,0.05,53.18
simple_mlp,10,3,0.05,59.36
robust_cnn,01,1,0.1,77.17
robust_cnn,01,2,0.1,43.21
robust_cnn,01,3,0.1,85.98
robust_cnn,02,1,0.1,57.48
robust_cnn,02,2,0.1,69.84
robust_cnn,02,3,0.1,68.87
robust_cnn,03,1,0.1,56.69
robust_cnn,03,2,0.1,61.13
robust_cnn,03,3,0.1,60.43
robust_cnn,04,1,0.1,45.49
robust_cnn,04,2,0.1,66.9
robust_cnn,04,3,0.1,59.74
robust_cnn,05,1,0.1,47.63
robust_cnn,05,2,0.1,58.95
robust_cnn,05,3,0.1,45.43
robust_cnn,06,1,0.1,45.87
robust_cnn,06,2,0.1,50.36
robust_cnn,06,3,0.1,50.91
robust_cnn,07,1,0.1,47.11
robust_cnn,07,2,0.1,60.34
robust_cnn,07,3,0.1,44.66
robust_cnn,08,1,0.1,45.77
robust_cnn,08,2,0.1,31.42
robust_cnn,08,3,0.1,35.02
robust_cnn,09,1,0.1,42.93
robust_cnn,09,2,0.1,65.77
robust_cnn,09,3,0.1,35.07
robust_cnn,10,1,0.1,61.54
robust_cnn,10,2,0.1,30.86
robust_cnn,10,3,0.1,59.98
simple_cnn,01,1,0.1,85.81
simple_cnn,01,2,0.1,81.63
simple_cnn,01,3,0.1,85.35
simple_cnn,02,1,0.1,87.79
simple_cnn,02,2,0.1,84.44
simple_cnn,02,3,0.1,83.9
simple_cnn,03,1,0.1,86.9
simple_cnn,03,2,0.1,86.62
simple_cnn,03,3,0.1,88.67
simple_cnn,04,1,0.1,83.68
simple_cnn,04,2,0.1,86.46
simple_cnn,04,3,0.1,87.74
simple_cnn,05,1,0.1,88.58
simple_cnn,05,2,0.1,84.39
simple_cnn,05,3,0.1,85.38
simple_cnn,06,1,0.1,83.51
simple_cnn,06,2,0.1,84.68
simple_cnn,06,3,0.1,86.01
simple_cnn,07,1,0.1,86.04
simple_cnn,07,2,0.1,86.57
simple_cnn,07,3,0.1,86.26
simple_cnn,08,1,0.1,86.27
simple_cnn,08,2,0.1,87.41
simple_cnn,08,3,0.1,86.72
simple_cnn,09,1,0.1,86.61
simple_cnn,09,2,0.1,85.29
simple_cnn,09,3,0.1,87.15
simple_cnn,10,1,0.1,85.95
simple_cnn,10,2,0.1,85.27
simple_cnn,10,3,0.1,87.9
simple_mlp,01,1,0.1,19.7
simple_mlp,01,2,0.1,18.1
simple_mlp,01,3,0.1,17.54
simple_mlp,02,1,0.1,16.14
simple_mlp,02,2,0.1,17.44
simple_mlp,02,3,0.1,17.43
simple_mlp,03,1,0.1,15.95
simple_mlp,03,2,0.1,17.11
simple_mlp,03,3,0.1,16.67
simple_mlp,04,1,0.1,12.69
simple_mlp,04,2,0.1,14.58
simple_mlp,04,3,0.1,13.29
simple_mlp,05,1,0.1,11.48
simple_mlp,05,2,0.1,12.92
simple_mlp,05,3,0.1,12.7
simple_mlp,06,1,0.1,10.49
simple_mlp,06,2,0.1,11.49
simple_mlp,06,3,0.1,12.47
simple_mlp,07,1,0.1,11.87
simple_mlp,07,2,0.1,13.19
simple_mlp,07,3,0.1,12.95
simple_mlp,08,1,0.1,10.72
simple_mlp,08,2,0.1,11.15
simple_mlp,08,3,0.1,14.02
simple_mlp,09,1,0.1,11.06
simple_mlp,09,2,0.1,13.24
simple_mlp,09,3,0.1,14.18
simple_mlp,10,1,0.1,14.14
simple_mlp,10,2,0.1,13.66
simple_mlp,10,3,0.1,14.1
robust_cnn,01,1,0.15,50.53
robust_cnn,01,2,0.15,16.13
robust_cnn,01,3,0.15,69.79
robust_cnn,02,1,0.15,30.42
robust_cnn,02,2,0.15,33.84
robust_cnn,02,3,0.15,39.43
robust_cnn,03,1,0.15,33.33
robust_cnn,03,2,0.15,35.3
robust_cnn,03,3,0.15,34.92
robust_cnn,04,1,0.15,24.31
robust_cnn,04,2,0.15,42.93
robust_cnn,04,3,0.15,36.69
robust_cnn,05,1,0.15,28.51
robust_cnn,05,2,0.15,37.74
robust_cnn,05,3,0.15,23.11
robust_cnn,06,1,0.15,26.58
robust_cnn,06,2,0.15,29.59
robust_cnn,06,3,0.15,32.19
robust_cnn,07,1,0.15,29.29
robust_cnn,07,2,0.15,35.1
robust_cnn,07,3,0.15,26.88
robust_cnn,08,1,0.15,27.17
robust_cnn,08,2,0.15,19.73
robust_cnn,08,3,0.15,19.71
robust_cnn,09,1,0.15,28.59
robust_cnn,09,2,0.15,45.77
robust_cnn,09,3,0.15,21.45
robust_cnn,10,1,0.15,39.97
robust_cnn,10,2,0.15,16.85
robust_cnn,10,3,0.15,41.55
simple_cnn,01,1,0.15,65.83
simple_cnn,01,2,0.15,57.7
simple_cnn,01,3,0.15,64.58
simple_cnn,02,1,0.15,68.21
simple_cnn,02,2,0.15,63.7
simple_cnn,02,3,0.15,59.21
simple_cnn,03,1,0.15,67.12
simple_cnn,03,2,0.15,68.2
simple_cnn,03,3,0.15,72.9
simple_cnn,04,1,0.15,59.01
simple_cnn,04,2,0.15,66.29
simple_cnn,04,3,0.15,72.35
simple_cnn,05,1,0.15,69.96
simple_cnn,05,2,0.15,59.41
simple_cnn,05,3,0.15,62.39
simple_cnn,06,1,0.15,54.32
simple_cnn,06,2,0.15,60.23
simple_cnn,06,3,0.15,65.41
simple_cnn,07,1,0.15,68.6
simple_cnn,07,2,0.15,66.14
simple_cnn,07,3,0.15,63.12
simple_cnn,08,1,0.15,68.48
simple_cnn,08,2,0.15,68.6
simple_cnn,08,3,0.15,67.92
simple_cnn,09,1,0.15,68.72
simple_cnn,09,2,0.15,65.71
simple_cnn,09,3,0.15,69.56
simple_cnn,10,1,0.15,63.71
simple_cnn,10,2,0.15,68.04
simple_cnn,10,3,0.15,70.98
simple_mlp,01,1,0.15,3.83
simple_mlp,01,2,0.15,2.86
simple_mlp,01,3,0.15,2.79
simple_mlp,02,1,0.15,1.6
simple_mlp,02,2,0.15,2.91
